"Webshipper Field","Webshipper Felt"
"Magento Field","Magento Felt"
"Static","Static"
"Add More","Tilføj Flere"
"-- Please Select --","-- Vælg Venligst --"
"Address","Addres"
"Parcel Shop","Pakkeshop"
"Service Point must be set!","Pakkeshop skal være valgt!"
"Service Point number was not found!","Vi fandt ikke noget pakkeshop nummer for denne pakkeshop!"
"Export order to Webshipper","Ekporter ordren til Webshipper"
"webshipper-order-export","webshipper-order-export"
"%1 service points in postcode <u>%2</u>","%1 pakkeshops indenfor postnummeret<u>%2</u>"
"Monday","Mandag"
"Tuesday","Tirsdag"
"Wednesday","Onsdag"
"Thursday","Torsdag"
"Friday","Fredag"
"Saturday","Lørdag"
"Sunday","Søndag"
"Webshipper","Webshipper"
"Enabled","Aktiv"
"Webshipper Configuration Token","Webshipper Konfiguration Token"
"Show Carrier Logo","Vis Transportør Logo"
"Export Order to Webshipper when order status is:","Ekporter ordren til Webshipper når ordren er i status:"
"Weight Unit:","Vægt Enhed:"
"Additional Product Data sent when filtering Rate Quotes","Yderligere Produkt Data sendt når der filtreres på Pris"
"Sender Address Mapping","Sender Address Mapping"
"Delivery Address Mapping","Delivery Address Mapping"
"Additional Order Attributes Mapping","Additional Order Attributes Mapping"
"Show button on Order Page","Vis knap på Ordre Redigerings Siden"
"Order Status","Order Status"
"Search by postcode:","Søg efter postnummer:"
