"Webshipper Field","Webshipper Field"
"Magento Field","Magento Field"
"Static","Static"
"Add More","Add More"
"-- Please Select --","-- Please Select --"
"Address","Address"
"Parcel Shop","Parcel Shop"
"Service Point must be set!","Service Point must be set!"
"Service Point number was not found!","Service Point number was not found!"
"Export order to Webshipper","Export order to Webshipper"
"webshipper-order-export","webshipper-order-export"
"%1 service points in postcode <u>%2</u>","%1 service points in postcode <u>%2</u>"
"Monday","Monday"
"Tuesday","Tuesday"
"Wednesday","Wednesday"
"Thursday","Thursday"
"Friday","Friday"
"Saturday","Saturday"
"Sunday","Sunday"
"Webshipper","Webshipper"
"Enabled","Enabled"
"Webshipper Configuration Token","Webshipper Configuration Token"
"Show Carrier Logo","Show Carrier Logo"
"Export Order to Webshipper when order status is:","Export Order to Webshipper when order status is:"
"Weight Unit:","Weight Unit:"
"Additional Product Data sent when filtering Rate Quotes","Additional Product Data sent when filtering Rate Quotes"
"Sender Address Mapping","Sender Address Mapping"
"Delivery Address Mapping","Delivery Address Mapping"
"Additional Order Attributes Mapping","Additional Order Attributes Mapping"
"Show button on Order Page","Show button on Order Page"
"Order Status","Order Status"
"Search by postcode:","Search by postcode:"
