"Webshipper Field","Webshipper Field"
"Magento Field","Magento Field"
"Static","Static"
"Add More","Add More"
"-- Please Select --","-- Please Select --"
"Address","Address"
"Parcel Shop","Pakkebutik"
"Service Point must be set!","Pakkebutik skal vælges!"
"Service Point number was not found!","Pakkebutik nummer blev ikke fundet!"
"Export order to Webshipper","Export order to Webshipper"
"webshipper-order-export","webshipper-order-export"
"%1 service points in postcode <u>%2</u>","%1 service points in postcode <u>%2</u>"
"Monday","Mandag"
"Tuesday","Tirsdag"
"Wednesday","Onsdag"
"Thursday","Torsdag"
"Friday","Fredag"
"Saturday","Lørdag"
"Sunday","Søndag"
"Webshipper","Webshipper"
"Enabled","Enabled"
"Webshipper Configuration Token","Webshipper Configuration Token"
"Show Carrier Logo","Vis leverandør logo"
"Export Order to Webshipper when order status is:","Eksporter ordre til Webshipper når ordrestatus er:"
"Weight Unit:","Weight Unit:"
"Additional Product Data sent when filtering Rate Quotes","Additional Product Data sent when filtering Rate Quotes"
"Sender Address Mapping","Sender Address Mapping"
"Delivery Address Mapping","Delivery Address Mapping"
"Additional Order Attributes Mapping","Additional Order Attributes Mapping"
"Show button on Order Page","Vis knap på ordre redigerings side"
"Order Status","Order Status"
"Search by postcode:","Søg efter postnummer:"
