"Webshipper Field","Webshipper Field"
"Magento Field","Magento Field"
"Static","Static"
"Add More","Add More"
"-- Please Select --","-- Please Select --"
"Address","Address"
"Parcel Shop","Paketskåp"
"Service Point must be set!","Paketskåp måste väljas!"
"Service Point number was not found!","Paketskåpnumret hittades inte!"
"Export order to Webshipper","Export order to Webshipper"
"webshipper-order-export","webshipper-order-export"
"%1 service points in postcode <u>%2</u>","%1 Paketskåp i postnummeret<u>%2</u>"
"Monday","Måndag"
"Tuesday","Tisdag"
"Wednesday","Onsdag"
"Thursday","Torsdag"
"Friday","Fredag"
"Saturday","Lördag"
"Sunday","Söndag"
"Webshipper","Webshipper"
"Enabled","Enabled"
"Webshipper Configuration Token","Webshipper Configuration Token"
"Show Carrier Logo","Visa fraktbolagslogga"
"Export Order to Webshipper when order status is:","Export Order to Webshipper when order status is:"
"Weight Unit:","Weight Unit:"
"Additional Product Data sent when filtering Rate Quotes","Additional Product Data sent when filtering Rate Quotes"
"Sender Address Mapping","Sender Address Mapping"
"Delivery Address Mapping","Delivery Address Mapping"
"Additional Order Attributes Mapping","Additional Order Attributes Mapping"
"Show button on Order Page","Visa knapp på beställningsredigeringssidan"
"Order Status","Order Status"
"Search by postcode:","Sök efter postnummer:"
